mol_smi,bbs_smi
CN[C@@H]1C[C@@H](c2c(OC)cccc2OC)N(Cc2ccc(OC(F)(F)F)cc2)C1=O,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@@]([H])(NC)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccccc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccccc1
O=C1CCC[C@@H](c2ccccc2)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1ccccc1.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
O=C1CCC[C@@H](c2ccccc2)N1Cc1ccc2ccccc2c1,[*]c1ccccc1.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc2ccccc2c1
COc1cccc(OC)c1[C@@H]1[C@@H](C#N)CCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@@]1([H])N([*])C(=O)CC[C@]1([H])C#N.[*]Cc1ccc(OC(F)(F)F)cc1
O=C1CCC[C@@H](c2ccccc2C(F)(F)F)N1Cc1ccccc1,[*]c1ccccc1C(F)(F)F.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccccc1
COc1cccc(OC)c1[C@@H]1C[C@@H](OC)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@@]([H])(OC)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1ccccc1[C@@H]1CCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1ccccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1C[C@@H](N(C)C)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@@]([H])(N(C)C)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
CCO[C@H]1C[C@@H](c2c(OC)cccc2OC)N(Cc2ccc(OC(F)(F)F)cc2)C1=O,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(OCC)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1cc(OC(F)F)ccn1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cc(OC(F)F)ccn1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1cnc2ccccc2c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cnc2ccccc2c1
O=C1CCC[C@@H](c2ccccc2C(F)(F)F)N1CCc1ccccc1,[*]c1ccccc1C(F)(F)F.[*][C@]1([H])CCCC(=O)N1[*].[*]CCc1ccccc1
COc1cccc(OC)c1[C@@H]1C[C@H](NC(=O)OC(C)(C)C)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(NC(=O)OC(C)(C)C)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1[C@@H](N(C)C)CCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@@]1([H])N([*])C(=O)CC[C@]1([H])N(C)C.[*]Cc1ccc(OC(F)(F)F)cc1
